File,Name,Module,Trap OIDs,Numerical Representation,Description
multipleUsersTrap,AIRESPACE-SWITCHING-MIB,current,.1.3.6.1.4.1.14179.1.50.1,,Multiple Users Log Trap.
broadcastStormStartTrap,AIRESPACE-SWITCHING-MIB,current,.1.3.6.1.4.1.14179.1.50.2,,Broadcast Storm Start Log Trap.
broadcastStormEndTrap,AIRESPACE-SWITCHING-MIB,current,.1.3.6.1.4.1.14179.1.50.3,,Broadcast Storm End Log Trap.
linkFailureTrap,AIRESPACE-SWITCHING-MIB,current,.1.3.6.1.4.1.14179.1.50.4,,trapMgrLinkFailureLogTrap.
vlanRequestFailureTrap,AIRESPACE-SWITCHING-MIB,obsolete,.1.3.6.1.4.1.14179.1.50.5,dot1qVlanIndex,Vlan Request Failure Log Trap
vlanDeleteLastTrap,AIRESPACE-SWITCHING-MIB,obsolete,.1.3.6.1.4.1.14179.1.50.6,dot1qVlanIndex,Last Vlan Delete Log Trap
vlanDefaultCfgFailureTrap,AIRESPACE-SWITCHING-MIB,obsolete,.1.3.6.1.4.1.14179.1.50.7,dot1qVlanIndex,Default Vlan Config Failure Log Trap
vlanRestoreFailureTrap,AIRESPACE-SWITCHING-MIB,obsolete,.1.3.6.1.4.1.14179.1.50.8,dot1qVlanIndex,Vlan Restore Failure Log Trap
fanFailureTrap,AIRESPACE-SWITCHING-MIB,current,.1.3.6.1.4.1.14179.1.50.9,,Fan Failure Log Trap.
stpInstanceNewRootTrap,AIRESPACE-SWITCHING-MIB,current,.1.3.6.1.4.1.14179.1.50.10,dot1qVlanIndex,STP Instance New Root Trap
stpInstanceTopologyChangeTrap,AIRESPACE-SWITCHING-MIB,current,.1.3.6.1.4.1.14179.1.50.11,dot1qVlanIndex,STP Instance Topology Change Trap
powerSupplyStatusChangeTrap,AIRESPACE-SWITCHING-MIB,current,.1.3.6.1.4.1.14179.1.50.12,,Power Supply Status Change Trap
bsnDot11StationDisassociate,AIRESPACE-WIRELESS-MIB,current,.1.3.6.1.4.1.14179.2.6.3.1,"bsnStationAPMacAddr, bsnStationAPIfSlotId, bsnStationReasonCode, bsnUserIpAddress, bsnStationUserName, bsnStationMacAddress, bsnAPName",The disassociate notification shall be sent when the Station sends a Disassociation frame. The value of the notification shall include the MAC address of the MAC to which the  Disassociation frame was sent and the reason for the  disassociation
bsnDot11StationDeauthenticate,AIRESPACE-WIRELESS-MIB,current,.1.3.6.1.4.1.14179.2.6.3.2,"bsnStationAPMacAddr, bsnStationAPIfSlotId, bsnStationReasonCode, bsnUserIpAddress, bsnStationUserName, bsnStationMacAddress, bsnAPName",The deauthenticate notification shall be sent when the Station sends a Deauthentication frame. The value of the notification shall include the MAC address of the MAC to which the Deauthentication frame was sent and the reason for the deauthentication.
bsnDot11StationAuthenticateFail,AIRESPACE-WIRELESS-MIB,current,.1.3.6.1.4.1.14179.2.6.3.3,"bsnStationAPMacAddr, bsnStationAPIfSlotId, bsnStationReasonCode, bsnUserIpAddress, bsnStationUserName, bsnStationMacAddress, bsnAPName",The authenticate failure notification shall be sent when the  Station sends an Authentication frame with a status code other than 'successful'. The value of the notification shall include the MAC address of the MAC to which the Authentication frame was sent and the reason for the authentication failure.
bsnDot11StationAssociateFail,AIRESPACE-WIRELESS-MIB,current,.1.3.6.1.4.1.14179.2.6.3.4,"bsnStationAPMacAddr, bsnStationAPIfSlotId, bsnStationReasonCode, bsnUserIpAddress, bsnStationUserName, bsnStationMacAddress, bsnAPName",The associate failure notification shall be sent when the  Station sends an Association frame with a status code other  than 'successful'. The value of the notification shall include the MAC address of the MAC to which the  Authentication frame was sent and the reason for the  authentication failure.
bsnDot11StationBlacklisted,AIRESPACE-WIRELESS-MIB,current,.1.3.6.1.4.1.14179.2.6.3.52,"bsnStationAPMacAddr, bsnStationAPIfSlotId, bsnStationBlacklistingReasonCode, bsnUserIpAddress, bsnStationUserName, bsnStationMacAddress, bsnAPName","The station blacklisted notification shall be sent when the  client is blacklisted.  The reason could be repeated auth or  association failures or IP Address theft. The value of the notification shall include the MAC address  of the MAC to which the Authentication frame was sent, the  MAC and Slot Id of AP that client was associated to and the  reason for black listing."
bsnDot11StationAssociate,AIRESPACE-WIRELESS-MIB,current,.1.3.6.1.4.1.14179.2.6.3.53,"bsnStationAPMacAddr, bsnStationAPIfSlotId, bsnUserIpAddress, bsnStationMacAddress, bsnStationUserName, bsnAPName",The associate notification shall be sent when any of the  watchlisted clients(present on at least one watch list) associates with an AP. The value of the notification shall include the MAC address and the Slot ID of the radio  to which the station Associated.
bsnAPUp,AIRESPACE-WIRELESS-MIB,obsolete,.1.3.6.1.4.1.14179.2.6.3.5,bsnAPDot3MacAddress,When AP operation status goes up this trap will be  sent
bsnAPDown,AIRESPACE-WIRELESS-MIB,obsolete,.1.3.6.1.4.1.14179.2.6.3.6,bsnAPDot3MacAddress,When AP operation status goes down this trap will be sent
bsnAPAssociated,AIRESPACE-WIRELESS-MIB,deprecated,.1.3.6.1.4.1.14179.2.6.3.7,"bsnAPMacAddrTrapVariable, bsnAPPortNumberTrapVariable, bsnAPName","When AP Associates to a AP Switch, AP  associated notification will be sent with dot3 MAC address of  AP.This will help management system to discover AP and add to system."
bsnAPDisassociated,AIRESPACE-WIRELESS-MIB,current,.1.3.6.1.4.1.14179.2.6.3.8,"bsnAPMacAddrTrapVariable, bsnAPName","When AP disassociates from AP Switch, AP  disassociated notification will be sent with dot3 MAC address of AP management system to remove AP from this AP Switch"
bsnAPIfUp,AIRESPACE-WIRELESS-MIB,deprecated,.1.3.6.1.4.1.14179.2.6.3.9,"bsnAPDot3MacAddress, bsnAPIfSlotId, bsnAPPortNumber, bsnAPIfUpDownCause, bsnAPName",When AP's interface's operation status goes up this trap will be sent
bsnAPIfDown,AIRESPACE-WIRELESS-MIB,deprecated,.1.3.6.1.4.1.14179.2.6.3.10,"bsnAPDot3MacAddress, bsnAPIfSlotId, bsnAPAdminStatus, bsnAPIfAdminStatus, bsnAPIfUpDownCause, bsnAPName",When AP's interface's operation status goes down  this trap will be sent.
bsnAPLoadProfileFailed,AIRESPACE-WIRELESS-MIB,current,.1.3.6.1.4.1.14179.2.6.3.11,"bsnAPDot3MacAddress, bsnAPIfSlotId, bsnAPName","When LOAD Profile state changes from PASS to FAIL,  notification will be sent with Dot3 MAC address of AP and slot ID of AP IF. This trap sending can be  enable/disable using bsnRrmProfileTrapControlFlag "
bsnAPNoiseProfileFailed,AIRESPACE-WIRELESS-MIB,current,.1.3.6.1.4.1.14179.2.6.3.12,"bsnAPDot3MacAddress, bsnAPIfSlotId, bsnAPName","When Noise Profile state changes from PASS to FAIL,  notification will be sent with Dot3 MAC address of AP and slot ID of AP IF. This trap sending can be  enable/disable using bsnRrmProfileTrapControlFlag "
bsnAPInterferenceProfileFailed,AIRESPACE-WIRELESS-MIB,current,.1.3.6.1.4.1.14179.2.6.3.13,"bsnAPDot3MacAddress, bsnAPIfSlotId, bsnAPName","When Interference Profile state changes from PASS to FAIL, notification will be sent with Dot3 MAC address of AP and slot ID of AP IF. This trap sending can be  enable/disable using bsnRrmProfileTrapControlFlag "
bsnAPCoverageProfileFailed,AIRESPACE-WIRELESS-MIB,current,.1.3.6.1.4.1.14179.2.6.3.14,"bsnAPMacAddrTrapVariable, bsnAPNameTrapVariable, bsnAPSlotIdTrapVariable, bsnAPCoverageThresholdTrapVariable, bsnAPCoverageFailedClients, bsnAPCoverageTotalClients, bsnClientMacAddr, bsnClientRssi, bsnClientSnr, bsnAPName","When Coverage Profile state changes from PASS to FAIL,  notification will be sent with Dot3 MAC address of AP and slot ID of AP IF. This trap sending can be  enable/disable using bsnRrmProfileTrapControlFlag "
bsnAPLoadProfileUpdatedToPass,AIRESPACE-WIRELESS-MIB,current,.1.3.6.1.4.1.14179.2.6.3.37,"bsnAPDot3MacAddress, bsnAPIfSlotId, bsnAPName",When LOAD Profile state changes from FAIL to PASSt this  notification will be sent with Dot3 MAC address of AP and slot ID of AP IF. This trap sending can be  enable/disable using bsnRrmProfileTrapControlFlag 
bsnAPNoiseProfileUpdatedToPass,AIRESPACE-WIRELESS-MIB,current,.1.3.6.1.4.1.14179.2.6.3.38,"bsnAPDot3MacAddress, bsnAPIfSlotId, bsnAPName","When Noise Profile state changes from FAIL tp PASS,  notification will be sent with Dot3 MAC address of AP and slot ID of AP IF. This trap sending can be  enable/disable using bsnRrmProfileTrapControlFlag "
bsnAPInterferenceProfileUpdatedToPass,AIRESPACE-WIRELESS-MIB,current,.1.3.6.1.4.1.14179.2.6.3.39,"bsnAPDot3MacAddress, bsnAPIfSlotId, bsnAPName","When Interference Profile state changes from FAIL tp PASS, notification will be sent with Dot3 MAC address of AP and slot ID of AP IF. This trap sending can be  enable /disable using bsnRrmProfileTrapControlFlag "
bsnAPCoverageProfileUpdatedToPass,AIRESPACE-WIRELESS-MIB,current,.1.3.6.1.4.1.14179.2.6.3.40,"bsnAPDot3MacAddress, bsnAPIfSlotId, bsnAPName","When Coverage Profile state changes from FAIL tp PASS,  notification will be sent with Dot3 MAC address of AP and slot ID of AP IF. This trap sending can be  enable/disable using bsnRrmProfileTrapControlFlag "
bsnAPCurrentTxPowerChanged,AIRESPACE-WIRELESS-MIB,current,.1.3.6.1.4.1.14179.2.6.3.15,"bsnAPDot3MacAddress, bsnAPIfSlotId, bsnAPIfPhyTxPowerLevel, bsnAPName","Whenever dynamic algorithms are running and  bsnAPIfPhyPowerAutomaticOn is true, AP Interface's  CurrentTxPower might get updated by algorithm. When this occurs notification will be sent with Dot3 MAC address of AP and slot ID of AP IF along with the  currentTxPower for this AP IF"
bsnAPCurrentChannelChanged,AIRESPACE-WIRELESS-MIB,current,.1.3.6.1.4.1.14179.2.6.3.16,"bsnAPMacAddrTrapVariable, bsnAPSlotIdTrapVariable, bsnAPChannelNumberTrapVariable, bsnInterferenceEnergyBeforeChannelUpdate, bsnInterferenceEnergyAfterChannelUpdate, bsnAPPreviousChannelNumberTrapVariable, bsnAPReasonCodeTrapVariable, bsnNoiseBeforeChannelUpdate, bsnNoiseAfterChannelUpdate, bsnInterferenceBeforeChannelUpdate, bsnInterferenceAfterChannelUpdate, bsnAPName","Whenever dynamic algorithms are running and  bsnAPIfPhyChannelAutomaticOn is true, AP  Interface's CurrentChannel might get updated by algorithm.  When this occurs notification will be sent with Dot3 MAC  address of AP and slot ID of AP IF along  with the currentChannel for this AP IF"
bsnRrmDot11aGroupingDone,AIRESPACE-WIRELESS-MIB,current,.1.3.6.1.4.1.14179.2.6.3.21,bsnRrmDot11aGroupLeaderMacAddr,"When Grouping is done, this notification will be sent from the previous Group Leader where grouping algorithm was run. It has MAC address of the new Group Leader."
bsnRrmDot11bGroupingDone,AIRESPACE-WIRELESS-MIB,current,.1.3.6.1.4.1.14179.2.6.3.22,bsnRrmDot11bGroupLeaderMacAddr,"When Grouping is done, this notification will be sent from the previous Group Leader where grouping algorithm was run. It has MAC address of the new Group Leader."
bsnConfigSaved,AIRESPACE-WIRELESS-MIB,current,.1.3.6.1.4.1.14179.2.6.3.23,,When configuration is save either from CLI or web interface This trap will be sent to inform NMS to do refresh
bsnDot11EssCreated,AIRESPACE-WIRELESS-MIB,current,.1.3.6.1.4.1.14179.2.6.3.24,bsnDot11EssIndex,"Whenever a new Ess (WLAN) is created, this notification will  be sent along with EssIndex"
bsnDot11EssDeleted,AIRESPACE-WIRELESS-MIB,current,.1.3.6.1.4.1.14179.2.6.3.25,bsnDot11EssIndex,"Whenever a Ess (WLAN)is deleted, this notification will be  sent along with EssIndex"
bsnRADIUSServerNotResponding,AIRESPACE-WIRELESS-MIB,current,.1.3.6.1.4.1.14179.2.6.3.26,,This trap is to indicate that no RADIUS server(s) are responding to authentication requests sent by the RADIUS client within the MWAR device(Switch).
bsnAuthenticationFailure,AIRESPACE-WIRELESS-MIB,current,.1.3.6.1.4.1.14179.2.6.3.27,"bsnAuthFailureUserType, bsnAuthFailureUserName","This trap is to inform that client authentication failure has occured at MWAR(Switch). This could be cli/web user, wlan user,  or Mac Authorized user. ServiceType will indicate which type of  user it is and userName will be cli/web/wlan userName or  MacAddress of Mac Authorized User"
bsnIpsecEspAuthFailureTrap,AIRESPACE-WIRELESS-MIB,current,.1.3.6.1.4.1.14179.2.6.3.28,"bsnRemoteIPv4Address, bsnIpsecErrorCount","IPsec packets with invalid hashes were found in an inbound ESP SA. The total number of authentication errors accumulated is sent for the specific row of the ipsecSaEspInTable table for the SA; this provides the identity of the SA in which the error occurred.  Implementations SHOULD send one trap per SA (within a reasonable time period), rather than sending one trap per packet."
bsnIpsecEspReplayFailureTrap,AIRESPACE-WIRELESS-MIB,current,.1.3.6.1.4.1.14179.2.6.3.29,"bsnRemoteIPv4Address, bsnIpsecErrorCount","IPsec packets with invalid sequence numbers were found in an inbound ESP SA. The total number of replay errors accumulated is sent for the specific row of the ipsecSaEspInTable table for the SA; this provides the identity of the SA in which the error occurred.  Implementations SHOULD send one trap per SA (within a reasonable time period), rather than sending one trap per packet."
bsnIpsecEspInvalidSpiTrap,AIRESPACE-WIRELESS-MIB,current,.1.3.6.1.4.1.14179.2.6.3.31,"bsnRemoteIPv4Address, bsnIpsecSPI","A packet with an unknown SPI was detected from the specified peer with the specified SPI using the specified protocol. The destination address of the received packet is specified by ipsecLocalAddress.  The value ifIndex may be 0 if this optional linkage is unsupported.  If the object ipsecSecurityProtocol has the value for IPcomp, then the ipsecSPI object is the CPI of the packet.  Implementations SHOULD send one trap per peer (within a reasonable time period), rather than sending one trap per packet."
bsnIpsecIkeNegFailure,AIRESPACE-WIRELESS-MIB,current,.1.3.6.1.4.1.14179.2.6.3.33,"bsnRemoteIPv4Address, bsnRemoteUdpPort, bsnIkeAuthMethod, bsnIkeTotalInitFailures, bsnIkeTotalInitNoResponses, bsnIkeTotalRespFailures, bsnNotifiesSent, bsnNotifiesReceived","An attempt to negotiate a phase 1 IKE SA failed. The notification counts are also sent as part of the trap, along with the current value of the total negotiation error counters for ISAKMP."
bsnIpsecSuiteNegFailure,AIRESPACE-WIRELESS-MIB,current,.1.3.6.1.4.1.14179.2.6.3.34,"bsnRemoteIPv4Address, bsnSuiteInitFailures, bsnSuiteRespondFailures, bsnNotifiesSent, bsnNotifiesReceived",An attempt to negotiate a phase 2 SA suite for the specified selector failed. The current total failure counts are passed as well as the notification type counts for the notify involved in the failure.
bsnIpsecInvalidCookieTrap,AIRESPACE-WIRELESS-MIB,current,.1.3.6.1.4.1.14179.2.6.3.35,"bsnRemoteIPv4Address, bsnRemoteUdpPort, bsnInitiatorCookie, bsnResponderCookie, bsnIsakmpInvalidCookies","ISAKMP packets with invalid cookies were detected from the specified source, intended for the specified destination.  The initiator and responder cookies are also sent with the trap.  The current count is sent to allow the trap to accurately relfect dropped and throttled traps.  Implementations SHOULD send one trap per peer (within a reasonable time period, rather than sending one trap per packet."
bsnRogueAPDetected,AIRESPACE-WIRELESS-MIB,deprecated,.1.3.6.1.4.1.14179.2.6.3.36,"bsnRogueAPDot11MacAddress, bsnRogueAPAirespaceAPMacAddress, bsnRogueAPAirespaceAPSlotId, bsnRogueAPSsid, bsnRogueAPChannelNumber, bsnRogueAPAirespaceAPRSSI, bsnRogueAPAirespaceAPSNR, bsnRogueAPOnWiredNetwork, bsnRogueAdhocMode, bsnRogueAPRadioType, bsnRogueAPAirespaceAPName, bsnRogueAPClassType",When a Rogue AP is detected this Trap will be sent out along with APMacAddress on which its detected
bsnRogueAPRemoved,AIRESPACE-WIRELESS-MIB,current,.1.3.6.1.4.1.14179.2.6.3.41,"bsnRogueAPDot11MacAddress, bsnRogueAPAirespaceAPMacAddress, bsnRogueAPAirespaceAPSlotId, bsnRogueAPRadioType, bsnRogueAPAirespaceAPName",When a Rogue AP that was detected earlier no longer exists this Trap will be sent out along with APMacAddress on which its detected
